,name,bond_length,binding_energy,binding_energy_std,direct_gap,indirect_gap,hole_mass,elec_mass,eff_mass,elec_eps,ionic_eps,omega_irr,distance_mean,vbm_deriv,nv_unnorm,nv,nc_unnorm,nc,binary,vbm_deriv_L2,nv_dict,nc_dict,WM_elec,WM_total,nvnc,nvnc_unnorm
mp-66,C,1.54,75.0,5.0,5.614058982416828,4.1905970568113515,0.34479687000150205,0.40000340465989664,0.18517705566016043,5.81197126,0.0,0.696025,0.500598268348716,3.9736542697833364,0.12488396267948271,1.0,0.0887313916938387,1.0,False,4.948411705364439,"{'E0_r0': 1.0, 'E0_r1': 1.0, 'E0_r2': 1.0, 'E1_r0': 1.0, 'E1_r1': 1.0, 'E1_r2': 1.0, 'E2_r0': 1.0, 'E2_r1': 1.0, 'E2_r2': 1.0}","{'E0_r0': 1.0, 'E0_r1': 1.0, 'E0_r2': 1.0, 'E1_r0': 1.0, 'E1_r1': 1.0, 'E1_r2': 1.0, 'E2_r0': 1.0, 'E2_r1': 1.0, 'E2_r2': 1.0}",74.58661977944163,74.58661977944163,1.0,0.011081127808791915
mp-111,Ne,2.97,4100.0,0.0,11.865512069255024,11.865512069255024,5.675707650032162,0.7698998273037047,0.6779386357222293,1.32151059,0.0,0.44273333333333337,0.0,0.26367830377220275,5.024594503418596,1.0,0.0064554496433213,1.0,False,0.27701017664651817,"{'E0_r0': 1.0, 'E0_r1': 1.0, 'E0_r2': 1.0, 'E1_r0': 1.0, 'E1_r1': 1.0, 'E1_r2': 1.0, 'E2_r0': 1.0, 'E2_r1': 1.0, 'E2_r2': 1.0}","{'E0_r0': 1.0, 'E0_r1': 1.0, 'E0_r2': 1.0, 'E1_r0': 1.0, 'E1_r1': 1.0, 'E1_r2': 1.0, 'E2_r0': 1.0, 'E2_r1': 1.0, 'E2_r2': 1.0}",5281.651684683373,5281.651684683373,1.0,0.03243601679492774
mp-149,Si,2.36,14.5,0.2,2.5573986989625457,0.5698996684107137,0.22122052656288554,0.2629860782005554,0.12015102257156916,12.880761156666667,1.3333333333333334e-08,2.058875,0.49940505374135796,4.60766286738849,0.17025046035084762,1.0,0.1092058593481355,1.0,False,3.6315610351451495,"{'E0_r0': 1.0, 'E0_r1': 1.0, 'E0_r2': 1.0, 'E1_r0': 1.0, 'E1_r1': 1.0, 'E1_r2': 1.0, 'E2_r0': 1.0, 'E2_r1': 1.0, 'E2_r2': 1.0}","{'E0_r0': 1.0, 'E0_r1': 1.0, 'E0_r2': 1.0, 'E1_r0': 1.0, 'E1_r1': 1.0, 'E1_r2': 1.0, 'E2_r0': 1.0, 'E2_r1': 1.0, 'E2_r2': 1.0}",9.85292288876687,9.85292286836865,1.0,0.018592347827029985
mp-463,KF,2.65,900.0,0.0,6.313560140667991,6.313560140667991,2.751492995643625,0.5448566569777417,0.45479680048864607,1.9954137299999999,3.417175386666667,0.771,1.2299024559031503e-07,0.5127492841907112,5.136539636985144,0.9769799906062064,0.0072237865195768,0.5694843685153751,True,0.42153506428519455,"{'E0_r0': 0.9782102117654843, 'E0_r1': 0.9769758889256817, 'E0_r2': 0.9739015103975514, 'E1_r0': 0.9782137352417738, 'E1_r1': 0.976980030358592, 'E1_r2': 0.9739027140939224, 'E2_r0': 0.9782137352417738, 'E2_r1': 0.976980030358592, 'E2_r2': 0.9739027140939224}","{'E0_r0': 0.567592501550379, 'E0_r1': 0.5697412816479575, 'E0_r2': 0.5489822578673248, 'E1_r0': 0.567733366084783, 'E1_r1': 0.5694842748533705, 'E1_r2': 0.5487966961691612, 'E2_r0': 0.5802529671224379, 'E2_r1': 0.579338162744418, 'E2_r2': 0.5557415783953796}",1554.075649680279,211.21655171571555,0.5563748330025325,0.03710526578692519
mp-661,AlN,1.9,66.3,13.47,4.068799747763953,4.068799747763953,0.6567151215277903,0.2953277956833536,0.20371584697133419,4.537506953333334,4.21212398,1.34175,0.024689069517025517,2.8597534872742174,1.722386705010245,0.8996778806689274,0.031754886054391,0.7489261798246485,True,1.627738469532226,"{'E0_r0': 0.9516997965271455, 'E0_r1': 0.9039613093616824, 'E0_r2': 0.8252113337827097, 'E1_r0': 0.9488310516518149, 'E1_r1': 0.8996765640603287, 'E1_r2': 0.8203026748479171, 'E2_r0': 0.945296963947212, 'E2_r1': 0.8942341541590353, 'E2_r2': 0.8138268110869988}","{'E0_r0': 0.8871063470152621, 'E0_r1': 0.7888462475642374, 'E0_r2': 0.6828150482707055, 'E1_r0': 0.8615832830403684, 'E1_r1': 0.7489255044233977, 'E1_r2': 0.6399529203504669, 'E2_r0': 0.8004838691809502, 'E2_r1': 0.6641524010860481, 'E2_r2': 0.5604540577153969}",134.6203991953834,36.204788282184396,0.6737923182421157,0.0546941935591983
mp-682,NaF,2.29,800.0,0.0,6.58306094904052,6.58306094904052,2.3683895384561264,0.5658754582387503,0.4567459029335539,1.868682373333333,2.5994025733333337,0.6174333333333334,1.1669000287080766e-07,0.4031841879629152,3.869119882649425,0.9866939849556449,0.0114695019317425,0.5808258316941538,True,0.3955079362455516,"{'E0_r0': 0.9925293765960269, 'E0_r1': 0.9874915504481432, 'E0_r2': 0.9709905017199522, 'E1_r0': 0.9919969943954647, 'E1_r1': 0.9866938621199591, 'E1_r2': 0.969557308131311, 'E2_r0': 0.9909416453718768, 'E2_r1': 0.9850442096849923, 'E2_r2': 0.9665555988876146}","{'E0_r0': 0.7297582311004679, 'E0_r1': 0.5612437307256227, 'E0_r2': 0.48085171374635904, 'E1_r0': 0.744942314432217, 'E1_r1': 0.5808184669883195, 'E1_r2': 0.49434040091540843, 'E2_r0': 0.744942314432217, 'E2_r1': 0.5808184669883195, 'E2_r2': 0.49434040091540843}",1779.6080005648018,311.28090833839315,0.5730973544394813,0.0443768779681909
mp-804,GaN,1.95,23.3,2.77,1.9635427894395536,1.963542789439552,0.45980309133981934,0.1733482094415503,0.1258878288350389,5.769246273333334,4.575057913333333,1.6758333333333333,0.0750861857526275,3.7169016193928854,0.8287562998181469,0.8805509473682673,0.012747743599604,0.7617491929222235,True,2.1148922630219325,"{'E0_r0': 0.9007648458981926, 'E0_r1': 0.8840135916777437, 'E0_r2': 0.8279349941387915, 'E1_r0': 0.8991856278755445, 'E1_r1': 0.8805517357668549, 'E1_r2': 0.8234124250734499, 'E2_r0': 0.8980556621797928, 'E2_r1': 0.8759774882334945, 'E2_r2': 0.816855261521617}","{'E0_r0': 0.8564211330836977, 'E0_r1': 0.7617520660972488, 'E0_r2': 0.6762012292526961, 'E1_r0': 0.8564211330836977, 'E1_r1': 0.7617520660972488, 'E1_r2': 0.6762012292526961, 'E2_r0': 0.8634588139161253, 'E2_r1': 0.7728594000964215, 'E2_r2': 0.6886762787462688}",51.459582015117356,16.006701447137797,0.670758973484677,0.010564772816638276
mp-856,SnO2,2.06,32.7,0.0,1.0247271104583546,1.024727110458354,1.445542367704211,0.18546912254102546,0.16437865467990342,4.467711293333333,7.5511139300000005,1.1479666666666668,0.03652238476569196,1.7378566773999269,3.3776051919104226,0.984982098597648,0.0136854054483204,0.6312202628271648,False,0.9349787583111351,"{'E0_r0': 0.9904079432287458, 'E0_r1': 0.9882039959061387, 'E0_r2': 0.9778045994883074, 'E1_r0': 0.9869772137217182, 'E1_r1': 0.9849821363500845, 'E1_r2': 0.9738416189121433, 'E2_r0': 0.9835583419868381, 'E2_r1': 0.9814801485663112, 'E2_r2': 0.9693334803527581}","{'E0_r0': 0.7572309069401033, 'E0_r1': 0.6312195931745516, 'E0_r2': 0.5709641005655952, 'E1_r0': 0.7572309069401033, 'E1_r1': 0.6312195931745516, 'E1_r2': 0.5709641005655952, 'E2_r0': 0.7689435140868284, 'E2_r1': 0.6467131901871611, 'E2_r2': 0.5853961621843722}",112.04587878174544,15.482534253647545,0.6217406591568597,0.04622389649564616
mp-909,As2Se3,2.41,53.5,3.5,1.6616679169921211,1.4077886708778968,0.9346356698036141,0.8735153395991643,0.4515212447768146,8.686457463333333,2.426362896666667,3.472272222222222,0.31179129865243893,4.174554415264633,6.625511002796119,0.8494291092296588,1.9481100336467847,0.5303054814012341,False,0.9151953247534712,"{'E0_r0': 0.8568723121060356, 'E0_r1': 0.8533383099933539, 'E0_r2': 0.8458759413034762, 'E1_r0': 0.8527963482730364, 'E1_r1': 0.8494291997355757, 'E1_r2': 0.8420533814025359, 'E2_r0': 0.8504166792841895, 'E2_r1': 0.8468999086935607, 'E2_r2': 0.8394265030246658}","{'E0_r0': 0.5397401796187468, 'E0_r1': 0.5332385751449312, 'E0_r2': 0.528446398431132, 'E1_r0': 0.5386591507952998, 'E1_r1': 0.5303055259513465, 'E1_r2': 0.5244155380504647, 'E2_r0': 0.5362649675075768, 'E2_r1': 0.5259540481391268, 'E2_r2': 0.519168648010212}",81.41669373116005,49.745095467194574,0.45045691268625565,12.90722446258429
mp-1087,SrS,3.02,70.0,0.0,2.982770488532017,2.517074012061884,0.5295126368350642,0.42081314068999787,0.23447314701060945,4.65756922,7.043458403333333,2.3276,2.303284380978848e-07,1.713565506569869,1.3018808374390158,0.9334854849708605,0.0187871948842148,0.31835543395974103,True,1.1707236480037413,"{'E0_r0': 0.9291519002191478, 'E0_r1': 0.9406298005786607, 'E0_r2': 0.9420549259101922, 'E1_r0': 0.9243903683713682, 'E1_r1': 0.9334862305094225, 'E1_r2': 0.9325187262899156, 'E2_r0': 0.9175446168607864, 'E2_r1': 0.9283393170075918, 'E2_r2': 0.9283365775431294}","{'E0_r0': 0.2870933322817088, 'E0_r1': 0.2826927433878768, 'E0_r2': 0.2916369991549768, 'E1_r0': 0.32976303907501364, 'E1_r1': 0.31835813022299014, 'E1_r2': 0.319082848025819, 'E2_r0': 0.32120115990815934, 'E2_r1': 0.31044668375893886, 'E2_r2': 0.31210635735807957}",147.0601970760654,23.300528430593832,0.2971801766630176,0.024458689008991556
mp-1138,LiF,2.04,900.0,0.0,8.776482469286515,8.77571139933708,2.8768682637560477,0.8639060912761903,0.66439292536173,2.04284005,9.223883886666668,0.5926,2.3936205532110065e-07,0.7657827180295075,3.021518794617416,0.9719508804235318,0.0151989685223976,0.5243967802116188,True,0.7757343041050953,"{'E0_r0': 0.9898523264221022, 'E0_r1': 0.9735432372600332, 'E0_r2': 0.9335805002811637, 'E1_r0': 0.988975160103423, 'E1_r1': 0.9719508362325391, 'E1_r2': 0.9311196885879687, 'E2_r0': 0.9880511984165338, 'E2_r1': 0.9702216899727036, 'E2_r2': 0.9283562811325022}","{'E0_r0': 0.679358783656927, 'E0_r1': 0.5244000192623244, 'E0_r2': 0.4869732590743859, 'E1_r0': 0.679358783656927, 'E1_r1': 0.5244000192623244, 'E1_r2': 0.4869732590743859, 'E2_r0': 0.6825548616548399, 'E2_r1': 0.5294901783511052, 'E2_r2': 0.49031454850503764}",2166.0922041820563,71.21153713660831,0.5096879122179483,0.045923969049222836
mp-1143,Al2O3,1.87,130.0,0.0,5.914440174046506,5.914440174046506,0.9630981248985349,0.37602568701239475,0.27043775254696817,3.2564613833333333,7.5010902166666655,0.8811444444444445,0.015008710742162748,1.3060651745732066,6.602243586102758,0.9571210910634097,0.0402527680078269,0.6342812351277167,False,0.7795227893630534,"{'E0_r0': 0.9819079694207651, 'E0_r1': 0.958266925147378, 'E0_r2': 0.9109909553867463, 'E1_r0': 0.9814075484788312, 'E1_r1': 0.9571207364375444, 'E1_r2': 0.9088432684978571, 'E2_r0': 0.9804068131792748, 'E2_r1': 0.9549641222197393, 'E2_r2': 0.9050042109724764}","{'E0_r0': 0.763452702718744, 'E0_r1': 0.6286190978693376, 'E0_r2': 0.5926115089114111, 'E1_r0': 0.767710399048042, 'E1_r1': 0.6342810402336708, 'E1_r2': 0.5969153209902435, 'E2_r0': 0.7753858876018881, 'E2_r1': 0.6446026205506801, 'E2_r2': 0.6049124163514251}",346.9733509994545,31.795166938796573,0.6070839478064873,0.2657585794025574
mp-1253,BaSe,3.33,78.0,0.0,2.2302963805715095,2.019734141919253,0.48687412401282776,0.4221402595125872,0.22610111873437955,5.315095593333334,8.541177666666668,3.0238666666666667,4.13592020391402e-07,2.125168535369053,1.3019922953270946,0.9015465653381867,0.0124006368092678,0.28711129156455745,True,1.328469228445506,"{'E0_r0': 0.884641484493559, 'E0_r1': 0.8977848421880184, 'E0_r2': 0.9073401878871284, 'E1_r0': 0.8916778850506921, 'E1_r1': 0.9015506986443087, 'E1_r2': 0.9076448768849505, 'E2_r0': 0.8894932520590298, 'E2_r1': 0.9006138503448864, 'E2_r2': 0.9073214514962764}","{'E0_r0': 0.32574225888767805, 'E0_r1': 0.2906239850400648, 'E0_r2': 0.27536658772073097, 'E1_r0': 0.32209796758434805, 'E1_r1': 0.28714473887286296, 'E1_r2': 0.27193566735120706, 'E2_r0': 0.3433520728227239, 'E2_r1': 0.305547164187978, 'E2_r2': 0.28632117477628666}",108.89331494023963,16.02250808879668,0.25884419877983744,0.01614553358281624
mp-1265,MgO,2.1,82.5,2.5,4.902086299806362,4.902086299806362,0.8690875362265517,0.35496745855148154,0.2520293575935694,3.1131890166666665,6.428140673333332,0.9160666666666667,1.1830406128121516e-07,1.1454049190073803,1.564915712679909,0.9629396647207591,0.0054255775406229,0.6554581614682937,True,1.2277110706054477,"{'E0_r0': 0.9860531350831194, 'E0_r1': 0.9659278330537553, 'E0_r2': 0.9210010028932906, 'E1_r0': 0.9843654258472941, 'E1_r1': 0.9629406773374806, 'E1_r2': 0.916175238716424, 'E2_r0': 0.9830780785737088, 'E2_r1': 0.9606944133473888, 'E2_r2': 0.9126778957329993}","{'E0_r0': 0.8116138768447287, 'E0_r1': 0.6554627416351166, 'E0_r2': 0.5646364796520172, 'E1_r0': 0.8116138768447287, 'E1_r1': 0.6554627416351166, 'E1_r2': 0.5646364796520172, 'E2_r0': 0.820582819188227, 'E2_r1': 0.6700926155850785, 'E2_r2': 0.578051153880338}",353.80243742995646,37.66638961657636,0.631166662242764,0.008490571543683993
mp-1342,BaO,2.79,73.0,0.0,2.128277753900075,2.1282777539000755,1.0632214726214304,0.5150153268996627,0.3469538629786261,4.270361510000001,54.57146165,1.7148,2.1370132651255788e-07,2.0524818411674977,2.544208690061641,0.9339033647713606,0.0130829412117579,0.2747323287392343,True,1.69402255096252,"{'E0_r0': 0.9485260765886151, 'E0_r1': 0.9313644431058152, 'E0_r2': 0.9218239523455878, 'E1_r0': 0.9508671701542801, 'E1_r1': 0.9339030312291394, 'E1_r2': 0.9235160406829324, 'E2_r0': 0.9541567780547727, 'E2_r1': 0.9375331452464404, 'E2_r2': 0.926178143016155}","{'E0_r0': 0.4056793561237927, 'E0_r1': 0.2728996181366049, 'E0_r2': 0.23540676854756012, 'E1_r0': 0.4081621267378785, 'E1_r1': 0.27472668102668585, 'E1_r2': 0.2360298987861656, 'E2_r0': 0.42005072700345286, 'E2_r1': 0.2829130287171603, 'E2_r2': 0.24084245941554933}",258.85890544636794,1.363390154846744,0.2565734462210425,0.03328573272252002
mp-1415,CaSe,2.97,70.0,0.0,2.968070002040528,2.043377089879386,0.39162517589834217,0.3927115786163983,0.19608381242839265,5.64392255,6.572511250000001,2.5699,6.998067250176624e-08,1.872316701838499,0.4405546948350002,0.9074257339400743,0.0142598788525946,0.1554169682985055,True,1.2478602850525207,"{'E0_r0': 0.8923184418326544, 'E0_r1': 0.9205302034182472, 'E0_r2': 0.9226202193436609, 'E1_r0': 0.8758459939162694, 'E1_r1': 0.9074258165763726, 'E1_r2': 0.9105573782462875, 'E2_r0': 0.8596203915894991, 'E2_r1': 0.8935827705367727, 'E2_r2': 0.8974015962661122}","{'E0_r0': 0.08980028702039604, 'E0_r1': 0.13454484084769117, 'E0_r2': 0.17999859160339893, 'E1_r0': 0.10894689574127421, 'E1_r1': 0.15541808901399443, 'E1_r2': 0.19882096884156028, 'E2_r0': 0.10170262234310054, 'E2_r1': 0.14678969069384648, 'E2_r2': 0.1899600073044312}",83.75298967124196,17.876130550685676,0.1410293565250126,0.006282256576288886
mp-1500,BaS,3.23,73.0,0.0,2.375673331444024,2.2531339323854676,0.5955167031488126,0.4535478999745731,0.2574630287865674,4.805892456666666,10.033195260000001,2.6486,1.7959208203707957e-07,1.907002010531439,1.7549298672685885,0.918747290472812,0.0156146252463751,0.3348940526682424,True,1.2927258519925076,"{'E0_r0': 0.9134389361005124, 'E0_r1': 0.9151696835644365, 'E0_r2': 0.9172263219862665, 'E1_r0': 0.9184704530094709, 'E1_r1': 0.9187481543483459, 'E1_r2': 0.9186386241663752, 'E2_r0': 0.9172686740880119, 'E2_r1': 0.918466718422185, 'E2_r2': 0.9186853578792218}","{'E0_r0': 0.4016555780666203, 'E0_r1': 0.33436584105992045, 'E0_r2': 0.3005576527466313, 'E1_r0': 0.40205465725061706, 'E1_r1': 0.3348810560651256, 'E1_r2': 0.3006422747253904, 'E2_r0': 0.4226410660675899, 'E2_r1': 0.3526563645507749, 'E2_r2': 0.3140321980676619}",151.66572477870304,15.90820347341426,0.3076830034844069,0.027402572211069804
mp-1550,AlP,2.37,25.0,0.0,3.2203605208748134,1.5949933637075295,0.34602367480629603,0.3232365645760962,0.1671210947920628,8.10020562,2.1979172666666664,2.8237666666666663,0.12079640548865599,3.602342977230729,0.2958603984112492,0.822779896963641,0.0257732392062442,0.5235949904835209,True,2.837937489028957,"{'E0_r0': 0.8624115665848316, 'E0_r1': 0.8295569544415242, 'E0_r2': 0.7786400303825561, 'E1_r0': 0.8562806669838524, 'E1_r1': 0.82278269107785, 'E1_r2': 0.7715819706961856, 'E2_r0': 0.8485122379205433, 'E2_r1': 0.8143537992206904, 'E2_r2': 0.7629755494601816}","{'E0_r0': 0.5729749262666831, 'E0_r1': 0.5131776081087907, 'E0_r2': 0.46070306934781896, 'E1_r0': 0.5793610032660673, 'E1_r1': 0.5235961089834716, 'E1_r2': 0.4738916155429807, 'E2_r0': 0.5493590449514081, 'E2_r1': 0.49838108587617524, 'E2_r2': 0.45583300333964827}",34.65451718302075,21.440543957348176,0.4308034323207099,0.007625280819907838
mp-1672,CaS,2.85,70.0,0.0,3.181967884465316,2.3776894676368414,0.49734663846758964,0.42406517654029946,0.22889590366461396,4.997810136666668,6.965852083333334,2.1888333333333327,0.024133131726785686,1.8254106413907685,0.6671342156244588,0.9297168381604302,0.0169682703776733,0.20414361962483854,True,1.2684261446413698,"{'E0_r0': 0.9230030728041224, 'E0_r1': 0.9368567607926137, 'E0_r2': 0.9329340467513718, 'E1_r0': 0.9141831553841436, 'E1_r1': 0.9297164413842405, 'E1_r2': 0.9259775582991057, 'E2_r0': 0.9008840521215775, 'E2_r1': 0.9162487513733598, 'E2_r2': 0.9120408765869313}","{'E0_r0': 0.15005518316759286, 'E0_r1': 0.1884080554702192, 'E0_r2': 0.22668373065321074, 'E1_r0': 0.16619999459886461, 'E1_r1': 0.2041448831472419, 'E1_r2': 0.23984196031803362, 'E2_r0': 0.16539879693004347, 'E2_r1': 0.20280169329279063, 'E2_r2': 0.23779371146333517}",124.68068531693649,21.758572644964765,0.18979576056823041,0.011320113748912817
mp-1784,CsF,3.01,800.0,0.0,5.808704001391735,5.4790922520564305,1.9845614720586817,0.41402340493584233,0.3425581916433048,2.351528023333333,6.257414193333333,1.2200333333333333,1.307617334256098e-07,1.3348080848264603,4.996936756129756,0.96711166504853,0.0078991471980997,0.2357727731888603,True,0.9819435189979416,"{'E0_r0': 0.9792548856047268, 'E0_r1': 0.9670052850191069, 'E0_r2': 0.9586539771884555, 'E1_r0': 0.9793037661543031, 'E1_r1': 0.9671116535015428, 'E1_r2': 0.9588029191163333, 'E2_r0': 0.9793037661543031, 'E2_r1': 0.9671116535015428, 'E2_r2': 0.9588029191163333}","{'E0_r0': 0.3348378842168742, 'E0_r1': 0.25715948637046604, 'E0_r2': 0.2600169933334114, 'E1_r0': 0.3217072343912731, 'E1_r1': 0.23577698346763998, 'E1_r2': 0.23045729641916926, 'E2_r0': 0.38292224885210246, 'E2_r1': 0.28287438275522697, 'E2_r2': 0.26478891503832835}",842.8585706901597,62.886212503823515,0.2280185992517881,0.039471538976263765
mp-1985,C3N4,1.46,116.0,0.0,3.4593852057657495,3.3035640920065497,2.225840317896782,0.8404062325167205,0.610065121963265,5.029698243333333,2.44997148,1.2986416666666667,0.12523033783713625,3.463066838926469,1.3215901093416527,0.8835042387281886,1.4362275161814546,0.4493161053427514,False,1.8873971569325507,"{'E0_r0': 0.9526052974483237, 'E0_r1': 0.8837297735066331, 'E0_r2': 0.7400532976574739, 'E1_r0': 0.9517939802357915, 'E1_r1': 0.8835044047363703, 'E1_r2': 0.7404745074968364, 'E2_r0': 0.9520734090220867, 'E2_r1': 0.8851086632271775, 'E2_r2': 0.742860579247305}","{'E0_r0': 0.41759641801430014, 'E0_r1': 0.4478662324954525, 'E0_r2': 0.5075761064503284, 'E1_r0': 0.42066873828984913, 'E1_r1': 0.44931621741163114, 'E1_r2': 0.5073808797647695, 'E2_r0': 0.4192546361820599, 'E2_r1': 0.44812794337389333, 'E2_r2': 0.5070281877407309}",328.10511677850917,148.3651914303805,0.39697268359916216,1.8981040801497389
mp-2064,RbF,2.92,800.0,0.0,6.410271419580349,6.410271419580349,2.3194506775791983,0.4293342788326186,0.36227631471259486,2.33935638,7.545451623333332,0.8932666666666668,2.545657979183672e-07,0.9112405959570559,5.1401160972598925,0.9764543890261446,0.0069500616720906,0.5164929648200228,True,0.5645416870427458,"{'E0_r0': 0.9801543195175592, 'E0_r1': 0.9763117560404128, 'E0_r2': 0.9737691229936734, 'E1_r0': 0.9803064199588072, 'E1_r1': 0.9764544612740775, 'E1_r2': 0.9737407259310554, 'E2_r0': 0.9803140830870107, 'E2_r1': 0.976463641001875, 'E2_r2': 0.9737465846945271}","{'E0_r0': 0.4926942621943315, 'E0_r1': 0.5070516480610314, 'E0_r2': 0.5382243977003895, 'E1_r0': 0.5093826621510559, 'E1_r1': 0.5164905458785682, 'E1_r2': 0.538276524074101, 'E2_r0': 0.5134901452177382, 'E2_r1': 0.5182593946133465, 'E2_r2': 0.5382236660708629}",900.6744292800836,50.44569757843637,0.5043318223996374,0.0357241238776619
mp-2160,Sb2Se3,2.64,6.0,0.0,0.9080961851694936,0.8931373051575768,1.1139187943378401,0.32755049824298943,0.2531199644456735,15.437591410000001,41.06026651,4.4877,0.2536493463612791,3.157328275159527,5.532927348122549,0.8518213914744972,1.1810956695082109,0.5612186699447083,False,0.9836122044284407,"{'E0_r0': 0.8512606537115873, 'E0_r1': 0.8444556243754416, 'E0_r2': 0.8371504397039271, 'E1_r0': 0.8581605573705511, 'E1_r1': 0.8518213677487687, 'E1_r2': 0.8438334588848252, 'E2_r0': 0.861201315216327, 'E2_r1': 0.8547750335252245, 'E2_r2': 0.8457928931133267}","{'E0_r0': 0.6247863992848548, 'E0_r1': 0.5538006006418698, 'E0_r2': 0.49343357813486893, 'E1_r0': 0.6301811948928011, 'E1_r1': 0.5612183324043393, 'E1_r2': 0.5020077575041878, 'E2_r0': 0.6365820892633444, 'E2_r1': 0.5693614884389313, 'E2_r2': 0.5109628430691362}",14.450670008820925,1.078904746745968,0.47805806835376796,6.534916530571092
mp-2472,SrO,2.58,66.0,0.0,3.423826610138442,3.3317651611211545,0.8475902325635144,0.5187395835133044,0.321795366723683,3.808027126666667,14.944548580000001,1.3816333333333333,0.0,1.4014106898237937,2.6810685735204256,0.9308710722769198,0.0151306229623355,0.24169023495473516,True,1.1830029664318087,"{'E0_r0': 0.937193096786717, 'E0_r1': 0.9284667472827561, 'E0_r2': 0.9214392955251819, 'E1_r0': 0.9410843029598807, 'E1_r1': 0.9308707592613888, 'E1_r2': 0.9213333549562134, 'E2_r0': 0.9410904909715188, 'E2_r1': 0.9309008603513159, 'E2_r2': 0.9208171464573073}","{'E0_r0': 0.2312607808692971, 'E0_r1': 0.19264385487022526, 'E0_r2': 0.21286032071265637, 'E1_r0': 0.310265576690964, 'E1_r1': 0.24169138004912352, 'E1_r2': 0.24329189832175455, 'E2_r0': 0.31832673092763325, 'E2_r1': 0.24609569515565957, 'E2_r2': 0.24449186283804547}",301.9259122316832,12.45026510850823,0.224982448171175,0.040566237722104236
mp-2490,GaP,2.36,14.8,4.75,1.8177693146921527,1.6002962737755233,0.20833171444353993,0.30739660692699317,0.12417480188995975,10.314634646666667,2.0828455366666665,3.2318,0.17511926156812416,4.096991536078877,0.1701653813514479,0.7995380567432855,0.1129617079396669,0.5346567626418701,True,3.269766304604899,"{'E0_r0': 0.8177058523242426, 'E0_r1': 0.8116944907718178, 'E0_r2': 0.7758460475122595, 'E1_r0': 0.8085599510854896, 'E1_r1': 0.7995395373952844, 'E1_r2': 0.7633210608764939, 'E2_r0': 0.8030349546469393, 'E2_r1': 0.7910997993001245, 'E2_r2': 0.7540933969983683}","{'E0_r0': 0.5439873701833158, 'E0_r1': 0.5285564704421477, 'E0_r2': 0.5141177676506857, 'E1_r0': 0.5510204989628539, 'E1_r1': 0.5346542061741612, 'E1_r2': 0.5190171288032462, 'E2_r0': 0.5577823600933308, 'E2_r1': 0.5424415416513931, 'E2_r2': 0.5273477219535732}",15.879851765585675,10.992267727895534,0.42747842902733685,0.019222172109664298
